counter txid length
1 NM_001003806 1027
2 NM_001003805 1673
3 NM_001003802 1672
4 NM_001003803 1845
5 NM_001003800 6416
6 NM_001003801 1683
7 NM_172367 3596
8 NM_001168531 1949
9 NM_001003809 5257
10 NM_001008784 1296
11 NM_001008781 19047
12 NM_001008783 2358
13 NM_012151_1 1702
14 NM_012151_2 1702
15 NR_003227 2929
16 NR_003226 3168
17 NR_003225 1956
18 NM_001290300 2595
19 NM_001290307 3854
20 NR_003222 69
21 NR_003221 71
22 NR_003220 69
23 NM_001278266 2818
24 NM_001278267 17619
25 NM_001290309 3587
26 NM_001278265 2842
27 NM_001278262 2932
28 NM_001278263 2708
29 NR_003229 70
30 NM_001278261 2973
31 NM_001469 2261
32 NM_001466 3819
33 NM_001467 2103
34 NM_001464 2671
35 NM_001465 4844
36 NM_001462 2011
37 NM_001463 2767
38 NM_001460 5263
39 NM_001461 2630
40 NM_001276394 2109
41 NM_007102 597
42 NM_001164246 3800
43 NM_007100 365
44 NM_000335 8501
45 NM_007106 4346
46 NM_001276392 2195
47 NM_001276393 2247
48 NM_000339 5567
49 NM_000338 4709
50 NM_007108 990
51 NM_001012969 1935
52 NM_001012968 4112
53 NM_001012967 6781
54 NM_001012965 1479
55 NM_001012964 1526
56 NM_001167911 3986
57 NM_003825 2641
58 NM_003826 3715
59 NM_001167912 4121
60 NM_003820 1706
61 NM_003821 2585
62 NM_003822 4946
63 NM_001167916 1402
64 NM_003828 2732
65 NM_003829 7609
66 NM_001256296 939
67 NR_046834 337
68 NR_046837 1069
69 NR_046836 600
70 NM_001025780 3104
71 NR_046832 643
72 NR_046839 514
73 NM_024034 2798
74 NM_018301 2520
75 NM_024036 2528
76 NM_024037 2162
77 NM_001164796 2141
78 NM_024031 2118
79 NM_001161546 3251
80 NM_024033 1618
81 NM_024038 910
82 NM_018303 4474
83 NM_018302 3633
84 NM_018304 6473
85 NR_024214_5 121
86 NM_001271069 533
87 NM_001271068 910
88 NM_001193335 2291
89 NM_001193333 1933
90 NR_027383_1 3274
91 NM_001256293 1891
92 NM_001011724 2365
93 NM_001011725 2224
94 NR_034069 4390
95 NM_006271 594
96 NM_001011720 3174
97 NM_006277 6112
98 NM_001011722 4261
99 NM_006275 3746
100 NM_001002030 2339
101 NR_034062 338
102 NR_034061 1688
103 NM_006279 2263
104 NR_034067 1343
105 NM_001002035 222
106 NM_001002036 1296
107 NM_001172626 2394
108 NM_001278268 4551
109 NM_002469 1337
110 NR_031653 70
111 NR_031652 113
112 NR_031651 66
113 NR_031650 106
114 NR_031657 76
115 NM_001199659 2817
116 NR_031654 105
117 NM_032961 5366
118 NM_032960 2980
119 NR_031659 73
120 NM_001199654 1128
121 NM_001199653 1061
122 NM_001278264 2850
123 NM_032967 4767
124 NM_032966 2880
125 NM_178452 2436
126 NR_030527 114
127 NR_030528 98
128 NM_003176 3521
129 NM_003177 5123
130 NM_003174 6716
131 NM_003175 565
132 NM_003172 1043
133 NM_001278260 2834
134 NM_003170 5877
135 NM_003171 2474
136 NM_001128846 5317
137 NM_001128847 5311
138 NM_001128844 5770
139 NR_003228 1941
140 NM_001128843 2409
141 NM_003178 3918
142 NM_003179 2433
143 NM_002889 741
144 NM_002888 883
145 NM_001098398 5666
146 NM_001257360 4109
147 NM_001257361 3392
148 NM_002887 2138
149 NM_002886 8413
150 NM_002881 2261
151 NM_002880 3275
152 NM_002883 3894
153 NM_002882 1137
154 NM_001010860 2025
155 NM_001081559 1751
156 NM_001081552 756
157 NM_001081550 5610
158 NM_001081551 512
159 NM_001077268 2273
160 NM_001010895 4647
161 NM_001003788 2308
162 NM_001010897 784
163 NM_001010896 579
164 NM_001010891 7845
165 NM_001010890 1436
166 NM_001010893 1317
167 NM_001010892 2840
168 NM_001003785 550
169 NM_001010898 6402
170 NM_001003787 2337
171 NM_001003786 2226
172 NM_001178108 4329
173 NR_109868 3031
174 NM_014009 2382
175 NM_014007 5972
176 NM_014004 3488
177 NM_014005 6388
178 NM_014002 3474
179 NM_014003 4454
180 NM_014000 5486
181 NM_014001 3820
182 NM_015351 5217
183 NM_015350 7794
184 NM_015353 3701
185 NM_015352 5219
186 NM_015355 4477
187 NM_015354 5695
188 NM_001276395 2216
189 NM_015359 4692
190 NR_027347 1050
191 NM_018584 2351
192 NR_027342 2451
193 NM_000333 7225
194 NR_027340 2170
195 NR_027341 2000
196 NM_001165921 2092
197 NM_002228 3323
198 NM_000332 10636
199 NM_001166139 5043
200 NM_007003 560
201 NM_002221 6162
202 NM_007107 3716
203 NM_001166136 4848
